X,y,w,ids
CC[C@@H](C)CC[C@@H](O)CC(=O)N(C)CCOc1ccccc1C,3.41,1.0,CC[C@@H](C)CC[C@@H](O)CC(=O)N(C)CCOc1ccccc1C
CC#CCNC(=O)C(=O)Nc1ccc(C(=O)NCC(=O)O)cc1,-0.421,1.0,CC#CCNC(=O)C(=O)Nc1ccc(C(=O)NCC(=O)O)cc1
CC[C@H](O)CNC(=O)C[C@@H](C)c1ccc(F)cc1F,2.346,1.0,CC[C@H](O)CNC(=O)C[C@@H](C)c1ccc(F)cc1F
COc1cc(Cl)ccc1C(=O)NC[C@@H](O)CC(C)(C)C,2.8760000000000003,1.0,COc1cc(Cl)ccc1C(=O)NC[C@@H](O)CC(C)(C)C
N#CCCN(CCC#N)S(=O)(=O)c1cc(Cl)c(O)c(Cl)c1,2.517,1.0,N#CCCN(CCC#N)S(=O)(=O)c1cc(Cl)c(O)c(Cl)c1
CC[C@@H](C#N)NC(=O)[C@@H](C)CCCc1ccccc1,3.064,1.0,CC[C@@H](C#N)NC(=O)[C@@H](C)CCCc1ccccc1
CCN(Cc1cccc(F)c1)C(=O)CNC(C)(C)CC(=O)O,2.017,1.0,CCN(Cc1cccc(F)c1)C(=O)CNC(C)(C)CC(=O)O
CN(C)C/C=C/C(=O)N(C)Cc1ccccc1F,1.902,1.0,CN(C)C/C=C/C(=O)N(C)Cc1ccccc1F
COCC[C@](C)(O)CN[C@H](C)c1cc(C)ccc1OC(F)F,3.035,1.0,COCC[C@](C)(O)CN[C@H](C)c1cc(C)ccc1OC(F)F
CCN(CC(=O)O)C(=O)[C@H](C)c1ccc(Cl)c(Cl)c1,3.03,1.0,CCN(CC(=O)O)C(=O)[C@H](C)c1ccc(Cl)c(Cl)c1
COc1ccc(C(C)(C)C(=O)NC[C@H](O)CC(C)C)cc1OC,2.505,1.0,COc1ccc(C(C)(C)C(=O)NC[C@H](O)CC(C)C)cc1OC
C[C@H](CCNCCS(=O)(=O)NC(C)(C)C)c1ccccc1,2.488,1.0,C[C@H](CCNCCS(=O)(=O)NC(C)(C)C)c1ccccc1
CCN(Cc1cc(C)cc(C)c1)[C@H](C)CNC(=O)CCNC(=O)NC,1.949,1.0,CCN(Cc1cc(C)cc(C)c1)[C@H](C)CNC(=O)CCNC(=O)NC
CC[C@@H](C)OCC(=O)N[C@@H](CC)CNC(=O)c1ccccc1Cl,2.78,1.0,CC[C@@H](C)OCC(=O)N[C@@H](CC)CNC(=O)c1ccccc1Cl
C[C@@H](CN(C)Cc1ccccc1)NC(=O)NCCO,0.7979999999999999,1.0,C[C@@H](CN(C)Cc1ccccc1)NC(=O)NCCO
C[C@H](c1ccccc1)[C@H](C)NC(=O)NCC(C)(CO)CO,1.469,1.0,C[C@H](c1ccccc1)[C@H](C)NC(=O)NCC(C)(CO)CO
CCCNC(=O)[C@H](C)Nc1ccc(O[C@H](C)CC)cc1,3.1910000000000003,1.0,CCCNC(=O)[C@H](C)Nc1ccc(O[C@H](C)CC)cc1
CC(C)(C)OC(=O)N[C@H](CC(=O)O)c1ccc(F)cc1,2.866,1.0,CC(C)(C)OC(=O)N[C@H](CC(=O)O)c1ccc(F)cc1
COCCOc1cccc(CC(=O)N(C[C@@H](C)O)[C@H](C)CO)c1,0.845,1.0,COCCOc1cccc(CC(=O)N(C[C@@H](C)O)[C@H](C)CO)c1
CC(C)OCC(=O)N[C@@H](C)CN[C@H](C)c1ccc(C(C)C)cc1,3.39,1.0,CC(C)OCC(=O)N[C@@H](C)CN[C@H](C)c1ccc(C(C)C)cc1
C[C@@H](CO)NC(=O)NCCc1ccc(C(F)(F)F)cc1,1.928,1.0,C[C@@H](CO)NC(=O)NCCc1ccc(C(F)(F)F)cc1
CC[C@H](OC(=O)c1cccc(OC)c1OC(F)F)C(=O)O,2.317,1.0,CC[C@H](OC(=O)c1cccc(OC)c1OC(F)F)C(=O)O
